"flight_id","origin","destination","register","flight_num","airplane","airline_icao","dow","status_","status1_","status2_","type_","delay_","international","scheduled_date","scheduled_time","actual_date","actual_time","miladi_scheduled","miladi_actual"
"1","OIII","OIMM","EPTBF","TBN6258","MD82","TBN","سه شنبه","پرواز كرد ","NULL",,"departure","22","0","1402-01-01","23:15:00","1402-01-01","23:37:00","21/3/2023","21/3/2023"
"2","OIMM","OIII","EPSMA","TBN6251","MD.88","TBN","سه شنبه","نشست ","NULL","پایان دریافت بار ","arrival","16","0","1402-01-01","22:40:00","1402-01-01","22:56:00","21/3/2023","21/3/2023"
"3","OIMM","OIII","EPTBF","TBN6257","MD82","TBN","سه شنبه","نشست ","NULL","پایان دریافت بار ","arrival","-5","0","1402-01-01","22:15:00","1402-01-01","22:10:00","21/3/2023","21/3/2023"
"4","OIMM","OIII",,"TBN6251","MD.88","TBN","سه شنبه","پرواز كرد ","NULL",,"departure","37","0","1402-01-01","21:15:00","1402-01-01","21:52:00","21/3/2023","21/3/2023"
"5","ORNI","OIMM",,"TBN7266","A320","TBN","سه شنبه","نشست ","NULL","پایان دریافت بار ","arrival","-2","1","1402-01-01","21:10:00","1402-01-01","21:08:00","21/3/2023","21/3/2023"
"6","OIMM","OIII",,"TBN6257","MD.88","TBN","سه شنبه","پرواز كرد ","NULL",,"departure","5","0","1402-01-01","21:00:00","1402-01-01","21:05:00","21/3/2023","21/3/2023"
"7","OIII","OIMM",,"TBN6252","MD.88","TBN","سه شنبه","نشست ","NULL","پایان دریافت بار ","arrival","29","0","1402-01-01","20:15:00","1402-01-01","20:44:00","21/3/2023","21/3/2023"
"8","OIII","OIMM","EPSMA","TBN6252","MD.88","TBN","سه شنبه","پرواز كرد ","NULL",,"departure","31","0","1402-01-01","19:00:00","1402-01-01","19:31:00","21/3/2023","21/3/2023"
"9","ORNI","OIMM",,"TBN7264","MD.88","TBN","سه شنبه","نشست ","NULL","پایان دریافت بار ","arrival","25","1","1402-01-01","17:35:00","1402-01-01","18:00:00","21/3/2023","21/3/2023"
"10","OIKQ","OIII","EPSMA","TBN6228","md88","TBN","سه شنبه","نشست ","NULL","پایان دریافت بار ","arrival","68","0","1402-01-01","16:00:00","1402-01-01","17:08:00","21/3/2023","21/3/2023"
"11","OIMM","ORNI",,"TBN7265","A320","TBN","سه شنبه","پرواز كرد ","NULL",,"departure","-4","1","1402-01-01","16:00:00","1402-01-01","15:56:00","21/3/2023","21/3/2023"
"12","OIII","OIKQ","EPSMA","TBN6227","md88","TBN","سه شنبه","پرواز كرد ","NULL",,"departure","37","0","1402-01-01","12:00:00","1402-01-01","12:37:00","21/3/2023","21/3/2023"
